sn,ses,run,trial,object,n_cubes,stimulus_type,task_version,scaffold,rotation_speed,start_orientation,end_orientation,angle,#VALUE!,same_mirror,stim_dur_ms,isi_ms,iti_ms,trial_dur_ms,start_time,end_time,has_rest_after,rest_after_ms,order_1,stim1_name,stim2_name,condition,show_feedback,feedback_dur_ms
sub-01,1,3,36,134,12,training_only,active_vis,late,60,190,10,150,-140,mirror,3000,1000,500,8000,285000,293000,FALSE,0,1,polycubes_stim134_2_4_3_3.obj,polycubes_stim134_2_4_3_3.obj,ordered,TRUE,500
sub-01,1,3,37,37,10,trained_shared,active_vis,late,60,90,270,50,220,mirror,3000,1000,500,8000,293000,301000,FALSE,0,1,polycubes_stim37_2_2_4_2.obj,polycubes_stim37_2_2_4_2.obj,ordered,TRUE,500
sub-01,1,3,38,79,11,training_only,active_vis,late,60,190,10,150,-140,same,3000,1000,500,8000,301000,309000,FALSE,0,1,polycubes_stim79_2_2_4_3.obj,polycubes_stim79_2_2_4_3.obj,ordered,TRUE,500
sub-01,1,3,39,97,11,trained_shared,active_vis,late,60,90,270,50,220,mirror,3000,1000,500,8000,309000,317000,FALSE,0,1,polycubes_stim97_2_3_2_4.obj,polycubes_stim97_2_3_2_4.obj,ordered,TRUE,500
sub-01,1,3,40,103,11,training_only,active_vis,late,60,140,320,100,220,mirror,3000,1000,500,8000,317000,325000,TRUE,5000,1,polycubes_stim103_3_2_4_2.obj,polycubes_stim103_3_2_4_2.obj,ordered,TRUE,500
sub-01,1,3,41,64,10,trained_shared,active_vis,late,60,0,180,0,180,mirror,3000,1000,500,8000,330000,338000,FALSE,0,1,polycubes_stim64_2_3_2_3.obj,polycubes_stim64_2_3_2_3.obj,ordered,TRUE,500
sub-01,1,3,42,156,11,trained_shared,active_vis,late,60,90,270,50,220,same,3000,1000,500,8000,338000,346000,FALSE,0,1,polycubes_stim156_2_2_3_4.obj,polycubes_stim156_2_2_3_4.obj,ordered,TRUE,500
sub-01,1,3,43,26,10,training_only,active_vis,late,60,0,180,0,180,same,3000,1000,500,8000,346000,354000,FALSE,0,1,polycubes_stim26_2_4_2_2.obj,polycubes_stim26_2_4_2_2.obj,ordered,TRUE,500
sub-01,1,3,44,40,10,training_only,active_vis,late,60,140,320,100,220,same,3000,1000,500,8000,354000,362000,FALSE,0,1,polycubes_stim40_2_3_3_2.obj,polycubes_stim40_2_3_3_2.obj,ordered,TRUE,500
sub-01,1,3,45,1,10,trained_shared,active_vis,late,60,190,10,150,-140,same,3000,1000,500,8000,362000,370000,FALSE,0,1,polycubes_stim1_2_4_2_2.obj,polycubes_stim1_2_4_2_2.obj,ordered,TRUE,500
sub-01,1,3,46,156,11,trained_shared,active_vis,late,60,0,180,0,180,same,3000,1000,500,8000,370000,378000,FALSE,0,1,polycubes_stim156_2_2_3_4.obj,polycubes_stim156_2_2_3_4.obj,ordered,TRUE,500
sub-01,1,3,47,105,12,trained_shared,active_vis,late,60,190,10,150,-140,mirror,3000,1000,500,8000,378000,386000,FALSE,0,1,polycubes_stim105_4_2_3_3.obj,polycubes_stim105_4_2_3_3.obj,ordered,TRUE,500
sub-01,1,3,48,150,11,training_only,active_vis,late,60,140,320,100,220,same,3000,1000,500,8000,386000,394000,FALSE,0,1,polycubes_stim150_2_2_4_3.obj,polycubes_stim150_2_2_4_3.obj,ordered,TRUE,500
sub-01,1,3,49,150,11,training_only,active_vis,late,60,90,270,50,220,same,3000,1000,500,8000,394000,402000,FALSE,0,1,polycubes_stim150_2_2_4_3.obj,polycubes_stim150_2_2_4_3.obj,ordered,TRUE,500
sub-01,1,3,50,129,11,training_only,active_vis,late,60,190,10,150,-140,same,3000,1000,500,8000,402000,410000,FALSE,0,1,polycubes_stim129_2_2_4_3.obj,polycubes_stim129_2_2_4_3.obj,ordered,TRUE,500
sub-01,1,3,51,109,11,training_only,active_vis,late,60,90,270,50,220,mirror,3000,1000,500,8000,410000,418000,FALSE,0,1,polycubes_stim109_3_2_3_3.obj,polycubes_stim109_3_2_3_3.obj,ordered,TRUE,500
sub-01,1,3,52,172,12,training_only,active_vis,late,60,140,320,100,220,same,3000,1000,500,8000,418000,426000,FALSE,0,1,polycubes_stim172_2_3_3_4.obj,polycubes_stim172_2_3_3_4.obj,ordered,TRUE,500
sub-01,1,3,53,187,12,training_only,active_vis,late,60,90,270,50,220,same,3000,1000,500,8000,426000,434000,FALSE,0,1,polycubes_stim187_4_2_2_4.obj,polycubes_stim187_4_2_2_4.obj,ordered,TRUE,500
sub-01,1,3,54,41,11,training_only,active_vis,late,60,0,180,0,180,same,3000,1000,500,8000,434000,442000,FALSE,0,1,polycubes_stim41_2_2_3_4.obj,polycubes_stim41_2_2_3_4.obj,ordered,TRUE,500
sub-01,1,3,55,40,10,training_only,active_vis,late,60,190,10,150,-140,mirror,3000,1000,500,8000,442000,450000,FALSE,0,1,polycubes_stim40_2_3_3_2.obj,polycubes_stim40_2_3_3_2.obj,ordered,TRUE,500
sub-01,1,3,56,133,11,training_only,active_vis,late,60,90,270,50,220,mirror,3000,1000,500,8000,450000,458000,FALSE,0,1,polycubes_stim133_3_2_2_4.obj,polycubes_stim133_3_2_2_4.obj,ordered,TRUE,500
sub-01,1,3,57,181,12,trained_shared,active_vis,late,60,90,270,50,220,same,3000,1000,500,8000,458000,466000,FALSE,0,1,polycubes_stim181_4_2_3_3.obj,polycubes_stim181_4_2_3_3.obj,ordered,TRUE,500
sub-01,1,3,58,156,11,trained_shared,active_vis,late,60,0,180,0,180,same,3000,1000,500,8000,466000,474000,FALSE,0,1,polycubes_stim156_2_2_3_4.obj,polycubes_stim156_2_2_3_4.obj,ordered,TRUE,500
sub-01,1,3,59,62,11,trained_shared,active_vis,late,60,190,10,150,-140,same,3000,1000,500,8000,474000,482000,FALSE,0,1,polycubes_stim62_2_2_3_4.obj,polycubes_stim62_2_2_3_4.obj,ordered,TRUE,500
sub-01,1,3,60,111,11,training_only,active_vis,late,60,90,270,50,220,same,3000,1000,500,8000,482000,490000,TRUE,5000,1,polycubes_stim111_3_4_2_2.obj,polycubes_stim111_3_4_2_2.obj,ordered,TRUE,500
sub-01,1,3,61,140,11,training_only,active_vis,late,60,190,10,150,-140,mirror,3000,1000,500,8000,495000,503000,FALSE,0,1,polycubes_stim140_4_2_2_3.obj,polycubes_stim140_4_2_2_3.obj,ordered,TRUE,500
sub-01,1,3,62,164,12,training_only,active_vis,late,60,190,10,150,-140,same,3000,1000,500,8000,503000,511000,FALSE,0,1,polycubes_stim164_4_2_4_2.obj,polycubes_stim164_4_2_4_2.obj,ordered,TRUE,500
sub-01,1,3,63,82,10,training_only,active_vis,late,60,90,270,50,220,mirror,3000,1000,500,8000,511000,519000,FALSE,0,1,polycubes_stim82_2_2_4_2.obj,polycubes_stim82_2_2_4_2.obj,ordered,TRUE,500
sub-01,1,3,64,140,11,training_only,active_vis,late,60,90,270,50,220,same,3000,1000,500,8000,519000,527000,FALSE,0,1,polycubes_stim140_4_2_2_3.obj,polycubes_stim140_4_2_2_3.obj,ordered,TRUE,500
