sn	ses	run	trial	object	n_cubes	stimulus_type	task_version	scaffold	rotation_speed	start_orientation	end_orientation	angle	stim2_orientation	same_mirror	stim_dur_ms	isi_ms	iti_ms	trial_dur_ms	start_time	end_time	has_rest_after	rest_after_ms	order_1	stim1_name	stim2_name	condition	show_feedback	feedback_dur_ms
sub-01	1	5	23	166	12	novel_test	passive	none	0	0	0	50	50	mirror	3000	1000	500	8000	181000	189000	False	0	1	polycubes_stim166_3_2_4_3.obj	polycubes_stim166_3_2_4_3.obj	ordered	True	500
sub-01	1	5	24	22	10	trained_shared	passive	none	0	0	0	150	150	same	3000	1000	500	8000	189000	197000	False	0	1	polycubes_stim22_2_2_2_4.obj	polycubes_stim22_2_2_2_4.obj	ordered	True	500
sub-01	1	5	25	100	11	trained_shared	passive	none	0	0	0	0	0	same	3000	1000	500	8000	197000	205000	False	0	1	polycubes_stim100_2_3_4_2.obj	polycubes_stim100_2_3_4_2.obj	ordered	True	500
sub-01	1	5	26	195	12	novel_test	passive	none	0	0	0	150	150	mirror	3000	1000	500	8000	205000	213000	False	0	1	polycubes_stim195_2_2_4_4.obj	polycubes_stim195_2_2_4_4.obj	ordered	True	500
sub-01	1	5	27	19	10	trained_shared	passive	none	0	0	0	50	50	mirror	3000	1000	500	8000	213000	221000	False	0	1	polycubes_stim19_3_2_3_2.obj	polycubes_stim19_3_2_3_2.obj	ordered	True	500
sub-01	1	5	28	185	12	novel_test	passive	none	0	0	0	100	100	same	3000	1000	500	8000	221000	229000	False	0	1	polycubes_stim185_3_3_3_3.obj	polycubes_stim185_3_3_3_3.obj	ordered	True	500
sub-01	1	5	29	69	11	novel_test	passive	none	0	0	0	150	150	same	3000	1000	500	8000	229000	237000	False	0	1	polycubes_stim69_3_2_2_4.obj	polycubes_stim69_3_2_2_4.obj	ordered	True	500
sub-01	1	5	30	185	12	novel_test	passive	none	0	0	0	150	150	mirror	3000	1000	500	8000	237000	245000	False	0	1	polycubes_stim185_3_3_3_3.obj	polycubes_stim185_3_3_3_3.obj	ordered	True	500
sub-01	1	5	31	123	10	trained_shared	passive	none	0	0	0	100	100	mirror	3000	1000	500	8000	245000	253000	False	0	1	polycubes_stim123_2_2_2_4.obj	polycubes_stim123_2_2_2_4.obj	ordered	True	500
sub-01	1	5	32	134	12	trained_shared	passive	none	0	0	0	50	50	same	3000	1000	500	8000	253000	261000	False	0	1	polycubes_stim134_2_4_3_3.obj	polycubes_stim134_2_4_3_3.obj	ordered	True	500
sub-01	1	5	33	168	12	novel_test	passive	none	0	0	0	0	0	same	3000	1000	500	8000	261000	269000	False	0	1	polycubes_stim168_3_4_2_3.obj	polycubes_stim168_3_4_2_3.obj	ordered	True	500
sub-01	1	5	34	120	12	novel_test	passive	none	0	0	0	0	0	same	3000	1000	500	8000	269000	277000	False	0	1	polycubes_stim120_4_2_2_4.obj	polycubes_stim120_4_2_2_4.obj	ordered	True	500
sub-01	1	5	35	104	11	novel_test	passive	none	0	0	0	50	50	same	3000	1000	500	8000	277000	285000	False	0	1	polycubes_stim104_2_3_2_4.obj	polycubes_stim104_2_3_2_4.obj	ordered	True	500
sub-01	1	5	36	99	12	trained_shared	passive	none	0	0	0	0	0	same	3000	1000	500	8000	285000	293000	False	0	1	polycubes_stim99_2_2_4_4.obj	polycubes_stim99_2_2_4_4.obj	ordered	True	500
sub-01	1	5	37	179	12	trained_shared	passive	none	0	0	0	100	100	mirror	3000	1000	500	8000	293000	301000	False	0	1	polycubes_stim179_3_2_3_4.obj	polycubes_stim179_3_2_3_4.obj	ordered	True	500
sub-01	1	5	38	21	10	trained_shared	passive	none	0	0	0	100	100	mirror	3000	1000	500	8000	301000	309000	False	0	1	polycubes_stim21_3_2_2_3.obj	polycubes_stim21_3_2_2_3.obj	ordered	True	500
sub-01	1	5	39	134	12	trained_shared	passive	none	0	0	0	0	0	same	3000	1000	500	8000	309000	317000	False	0	1	polycubes_stim134_2_4_3_3.obj	polycubes_stim134_2_4_3_3.obj	ordered	True	500
sub-01	1	5	40	24	11	trained_shared	passive	none	0	0	0	100	100	same	3000	1000	500	8000	317000	325000	True	5000	1	polycubes_stim24_2_3_3_3.obj	polycubes_stim24_2_3_3_3.obj	ordered	True	500
sub-01	1	5	41	65	10	trained_shared	passive	none	0	0	0	100	100	same	3000	1000	500	8000	330000	338000	False	0	1	polycubes_stim65_2_2_4_2.obj	polycubes_stim65_2_2_4_2.obj	ordered	True	500
sub-01	1	5	42	185	12	novel_test	passive	none	0	0	0	100	100	same	3000	1000	500	8000	338000	346000	False	0	1	polycubes_stim185_3_3_3_3.obj	polycubes_stim185_3_3_3_3.obj	ordered	True	500
sub-01	1	5	43	84	11	trained_shared	passive	none	0	0	0	0	0	same	3000	1000	500	8000	346000	354000	False	0	1	polycubes_stim84_2_3_4_2.obj	polycubes_stim84_2_3_4_2.obj	ordered	True	500
sub-01	1	5	44	69	11	novel_test	passive	none	0	0	0	0	0	mirror	3000	1000	500	8000	354000	362000	False	0	1	polycubes_stim69_3_2_2_4.obj	polycubes_stim69_3_2_2_4.obj	ordered	True	500
sub-01	1	5	45	195	12	novel_test	passive	none	0	0	0	0	0	same	3000	1000	500	8000	362000	370000	False	0	1	polycubes_stim195_2_2_4_4.obj	polycubes_stim195_2_2_4_4.obj	ordered	True	500
sub-01	1	5	46	166	12	novel_test	passive	none	0	0	0	100	100	mirror	3000	1000	500	8000	370000	378000	False	0	1	polycubes_stim166_3_2_4_3.obj	polycubes_stim166_3_2_4_3.obj	ordered	True	500
sub-01	1	5	47	24	11	trained_shared	passive	none	0	0	0	150	150	same	3000	1000	500	8000	378000	386000	False	0	1	polycubes_stim24_2_3_3_3.obj	polycubes_stim24_2_3_3_3.obj	ordered	True	500
sub-01	1	5	48	66	11	novel_test	passive	none	0	0	0	50	50	mirror	3000	1000	500	8000	386000	394000	False	0	1	polycubes_stim66_3_2_4_2.obj	polycubes_stim66_3_2_4_2.obj	ordered	True	500
sub-01	1	5	49	40	10	trained_shared	passive	none	0	0	0	150	150	mirror	3000	1000	500	8000	394000	402000	False	0	1	polycubes_stim40_2_3_3_2.obj	polycubes_stim40_2_3_3_2.obj	ordered	True	500
sub-01	1	5	50	175	12	trained_shared	passive	none	0	0	0	0	0	mirror	3000	1000	500	8000	402000	410000	False	0	1	polycubes_stim175_4_2_2_4.obj	polycubes_stim175_4_2_2_4.obj	ordered	True	500
sub-01	1	5	51	89	10	trained_shared	passive	none	0	0	0	50	50	same	3000	1000	500	8000	410000	418000	False	0	1	polycubes_stim89_2_2_3_3.obj	polycubes_stim89_2_2_3_3.obj	ordered	True	500
sub-01	1	5	52	41	11	novel_test	passive	none	0	0	0	50	50	mirror	3000	1000	500	8000	418000	426000	False	0	1	polycubes_stim41_2_2_3_4.obj	polycubes_stim41_2_2_3_4.obj	ordered	True	500
sub-01	1	5	53	28	11	novel_test	passive	none	0	0	0	0	0	mirror	3000	1000	500	8000	426000	434000	False	0	1	polycubes_stim28_2_2_4_3.obj	polycubes_stim28_2_2_4_3.obj	ordered	True	500
sub-01	1	5	54	63	11	novel_test	passive	none	0	0	0	100	100	mirror	3000	1000	500	8000	434000	442000	False	0	1	polycubes_stim63_2_3_4_2.obj	polycubes_stim63_2_3_4_2.obj	ordered	True	500
sub-01	1	5	55	101	12	trained_shared	passive	none	0	0	0	50	50	mirror	3000	1000	500	8000	442000	450000	False	0	1	polycubes_stim101_4_3_2_3.obj	polycubes_stim101_4_3_2_3.obj	ordered	True	500
sub-01	1	5	56	84	11	trained_shared	passive	none	0	0	0	150	150	mirror	3000	1000	500	8000	450000	458000	False	0	1	polycubes_stim84_2_3_4_2.obj	polycubes_stim84_2_3_4_2.obj	ordered	True	500
sub-01	1	5	57	144	12	novel_test	passive	none	0	0	0	100	100	mirror	3000	1000	500	8000	458000	466000	False	0	1	polycubes_stim144_3_4_3_2.obj	polycubes_stim144_3_4_3_2.obj	ordered	True	500
sub-01	1	5	58	148	12	novel_test	passive	none	0	0	0	150	150	same	3000	1000	500	8000	466000	474000	False	0	1	polycubes_stim148_3_2_3_4.obj	polycubes_stim148_3_2_3_4.obj	ordered	True	500
sub-01	1	5	59	195	12	novel_test	passive	none	0	0	0	150	150	same	3000	1000	500	8000	474000	482000	False	0	1	polycubes_stim195_2_2_4_4.obj	polycubes_stim195_2_2_4_4.obj	ordered	True	500
sub-01	1	5	60	107	11	trained_shared	passive	none	0	0	0	50	50	same	3000	1000	500	8000	482000	490000	True	5000	1	polycubes_stim107_2_3_4_2.obj	polycubes_stim107_2_3_4_2.obj	ordered	True	500
sub-01	1	5	61	41	11	novel_test	passive	none	0	0	0	100	100	same	3000	1000	500	8000	495000	503000	False	0	1	polycubes_stim41_2_2_3_4.obj	polycubes_stim41_2_2_3_4.obj	ordered	True	500
sub-01	1	5	62	28	11	novel_test	passive	none	0	0	0	50	50	same	3000	1000	500	8000	503000	511000	False	0	1	polycubes_stim28_2_2_4_3.obj	polycubes_stim28_2_2_4_3.obj	ordered	True	500
sub-01	1	5	63	100	11	trained_shared	passive	none	0	0	0	0	0	mirror	3000	1000	500	8000	511000	519000	False	0	1	polycubes_stim100_2_3_4_2.obj	polycubes_stim100_2_3_4_2.obj	ordered	True	500
sub-01	1	5	64	21	10	trained_shared	passive	none	0	0	0	150	150	mirror	3000	1000	500	8000	519000	527000	False	0	1	polycubes_stim21_3_2_2_3.obj	polycubes_stim21_3_2_2_3.obj	ordered	True	500
